street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Willem De Zwijgerlaan,334-d16,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-334-d16/43903014/,38,275000.0,7236.84,Amsterdam,Netherlands,"Willem De Zwijgerlaan 334-d16, Amsterdam, Netherlands",52.3810282,4.8610795,bos en lommer
Jan Van Galenstraat,82-2,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-van-galenstraat-82-2/43903445/,51,399011.0,7823.75,Amsterdam,Netherlands,"Jan Van Galenstraat 82-2, Amsterdam, Netherlands",52.3751294,4.8610518,erasmusbuurt
Lex Althoffstraat,15-h,https://www.funda.nl/detail/koop/amsterdam/appartement-lex-althoffstraat-15-h/43902966/,68,400000.0,5882.35,Amsterdam,Netherlands,"Lex Althoffstraat 15-h, Amsterdam, Netherlands",52.3792113,4.8299269,Unknown
Gloriantstraat,22-1,https://www.funda.nl/detail/koop/amsterdam/appartement-gloriantstraat-22-1/43909232/,54,450000.0,8333.33,Amsterdam,Netherlands,"Gloriantstraat 22-1, Amsterdam, Netherlands",52.3794802,4.8532308,bos en lommer
Gloriantstraat,20-1,https://www.funda.nl/detail/koop/amsterdam/appartement-gloriantstraat-20-1/43909220/,55,450000.0,8181.82,Amsterdam,Netherlands,"Gloriantstraat 20-1, Amsterdam, Netherlands",52.3793458,4.8533059,bos en lommer
Kijkduinstraat,105-3,https://www.funda.nl/detail/koop/amsterdam/appartement-kijkduinstraat-105-3/43994209/,46,375000.0,8152.17,Amsterdam,Netherlands,"Kijkduinstraat 105-3, Amsterdam, Netherlands",52.383395,4.8523901,bos en lommer
Bos En Lommerweg,161-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-161-1/43994864/,55,400000.0,7272.73,Amsterdam,Netherlands,"Bos En Lommerweg 161-1, Amsterdam, Netherlands",52.3811631,4.8557074,bos en lommer
De Clercqstraat,51-2,https://www.funda.nl/detail/koop/amsterdam/appartement-de-clercqstraat-51-2/43984943/,54,425000.0,7870.37,Amsterdam,Netherlands,"De Clercqstraat 51-2, Amsterdam, Netherlands",52.3708755,4.8707202,amsterdam-west
Kinkerstraat,58-c,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-58-c/43987069/,34,375000.0,11029.41,Amsterdam,Netherlands,"Kinkerstraat 58-c, Amsterdam, Netherlands",52.3676141,4.8729751,amsterdam-west
Nassaukade,153-d,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-153-d/43884165/,29,349000.0,12034.48,Amsterdam,Netherlands,"Nassaukade 153-d, Amsterdam, Netherlands",52.3714718,4.8739588,amsterdam-west
Goudsbloemstraat,107-d,https://www.funda.nl/detail/koop/amsterdam/appartement-goudsbloemstraat-107-d/43063265/,51,500000.0,9803.92,Amsterdam,Netherlands,"Goudsbloemstraat 107-d, Amsterdam, Netherlands",52.3805668,4.8837962,jordaan
Luzacstraat,1-4,https://www.funda.nl/detail/koop/amsterdam/appartement-luzacstraat-1-4/43063971/,51,475000.0,9313.73,Amsterdam,Netherlands,"Luzacstraat 1-4, Amsterdam, Netherlands",52.3792305,4.8699477,staatsliedenbuurt
Eerste Keucheniusstraat,47-h,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-keucheniusstraat-47-h/43063774/,54,450000.0,8333.33,Amsterdam,Netherlands,"Eerste Keucheniusstraat 47-h, Amsterdam, Netherlands",52.3809364,4.8716313,staatsliedenbuurt
Filips Van Almondestraat,11-2,https://www.funda.nl/detail/koop/amsterdam/appartement-filips-van-almondestraat-11-2/43060077/,48,400000.0,8333.33,Amsterdam,Netherlands,"Filips Van Almondestraat 11-2, Amsterdam, Netherlands",52.369976,4.8583522,baarsjes
Bilderdijkstraat,170-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bilderdijkstraat-170-1/43060716/,33,320000.0,9696.97,Amsterdam,Netherlands,"Bilderdijkstraat 170-1, Amsterdam, Netherlands",52.3669719,4.8720723,amsterdam-west
Willem Augustinstraat,314,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-augustinstraat-314/43067378/,64,425000.0,6640.62,Amsterdam,Netherlands,"Willem Augustinstraat 314, Amsterdam, Netherlands",52.3753918,4.8373375,slotervaart
De Rijpgracht,10-d,https://www.funda.nl/detail/koop/amsterdam/appartement-de-rijpgracht-10-d/43067150/,46,400000.0,8695.65,Amsterdam,Netherlands,"De Rijpgracht 10-d, Amsterdam, Netherlands",52.3778053,4.8618031,Unknown
Marcantilaan,407,https://www.funda.nl/detail/koop/amsterdam/appartement-marcantilaan-407/43067677/,40,385000.0,9625.0,Amsterdam,Netherlands,"Marcantilaan 407, Amsterdam, Netherlands",52.3736207,4.8674722,Unknown
Doggersbankstraat,19-3,https://www.funda.nl/detail/koop/amsterdam/appartement-doggersbankstraat-19-3/43066174/,48,425000.0,8854.17,Amsterdam,Netherlands,"Doggersbankstraat 19-3, Amsterdam, Netherlands",52.3845818,4.8504663,bos en lommer
Egidiusstraat,62-1,https://www.funda.nl/detail/koop/amsterdam/appartement-egidiusstraat-62-1/43065089/,61,435000.0,7131.15,Amsterdam,Netherlands,"Egidiusstraat 62-1, Amsterdam, Netherlands",52.3800565,4.8514761,bos en lommer
Van Oldenbarneveldtstraat,40-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-40-2/43065428/,47,425000.0,9042.55,Amsterdam,Netherlands,"Van Oldenbarneveldtstraat 40-2, Amsterdam, Netherlands",52.3763858,4.8750174,frederik hendrik buurt
Van Houweningenstraat,74-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-houweningenstraat-74-2/43054052/,45,400000.0,8888.89,Amsterdam,Netherlands,"Van Houweningenstraat 74-2, Amsterdam, Netherlands",52.3729511,4.870505,frederik hendrik buurt
Merlijnstraat,15-2,https://www.funda.nl/detail/koop/amsterdam/appartement-merlijnstraat-15-2/43054843/,49,400000.0,8163.27,Amsterdam,Netherlands,"Merlijnstraat 15-2, Amsterdam, Netherlands",52.3794938,4.8542589,bos en lommer
Bos En Lommerplantsoen,105-c,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-105-c/43054821/,30,250000.0,8333.33,Amsterdam,Netherlands,"Bos En Lommerplantsoen 105-c, Amsterdam, Netherlands",52.3759008,4.8443762,bos en lommer
Hertspieghelweg,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-78-1/43054819/,65,450000.0,6923.08,Amsterdam,Netherlands,"Hertspieghelweg 78-1, Amsterdam, Netherlands",52.3817825,4.8515581,bos en lommer
Postjeskade,35-2,https://www.funda.nl/detail/koop/amsterdam/appartement-postjeskade-35-2/43053340/,53,415000.0,7830.19,Amsterdam,Netherlands,"Postjeskade 35-2, Amsterdam, Netherlands",52.3635075,4.8549352,baarsjes
Bos En Lommerweg,323-4,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-323-4/43050330/,43,339000.0,7883.72,Amsterdam,Netherlands,"Bos En Lommerweg 323-4, Amsterdam, Netherlands",52.3782005,4.848546,bos en lommer
Lange Leidsedwarsstraat,136-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-136-1/43050020/,61,475000.0,7786.89,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 136-1, Amsterdam, Netherlands",52.3634423,4.8852238,Unknown
Brouwersgracht,182-k,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-182-k/43050725/,72,500000.0,6944.44,Amsterdam,Netherlands,"Brouwersgracht 182-k, Amsterdam, Netherlands",52.3812402,4.8876821,jordaan
Burgemeester Fockstraat,188-2,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-fockstraat-188-2/43058265/,57,325000.0,5701.75,Amsterdam,Netherlands,"Burgemeester Fockstraat 188-2, Amsterdam, Netherlands",52.3838866,4.8342154,Unknown
