street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood,indeling_kamers,indeling_badkamers,indeling_voorzieningen,indeling_woonlagen,indeling_verdieping,indeling_energielabel,indeling_isolatie,indeling_verwarming,indeling_warm_water,kadaster_eigendomssituatie,kadaster_lasten,listing_data_soort_appartement,listing_data_soort_bouw,listing_data_bouwjaar,listing_data_soort_dak,listing_data_gebouwgebonden_buitenruimte_m2,listing_data_externe_bergruimte_m2,listing_data_inhoud_m3,overdracht_vraagprijs,overdracht_prijs_per_m2,overdracht_aangeboden_sinds,overdracht_status,overdracht_aanvaarding,overdracht_servicekosten,energy_label,surface_gebouwgebonden_buitenruimte_m2,surface_externe_bergruimte_m2,surface_inhoud_m3,aangeboden_date,servicekosten_num,has_berging,has_balkon,kadaster_lasten_price,kadaster_lasten_year,eigendom_year,woonlaag_num,num_kamers,num_badkamers,woonlagen_num,beschikbaar
Elandsgracht,97-h,https://www.funda.nl/detail/koop/amsterdam/appartement-elandsgracht-97-h/43993712/,48,450000,9375.0,Amsterdam,Netherlands,"Elandsgracht 97-h, Amsterdam, Netherlands",52.3689891,4.8793175,jordaan,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,1e woonlaag,Niet verplicht,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1939,,10.0,,157.0,€ 450.000 kosten koper,€ 9.375,6 weken,,In overleg,"€ 145,80 per maand",Niet verplicht,10.0,,157.0,2025-05-06,145.8,False,True,,,9999,1.0,,1,1,False
Brederodestraat,59-2,https://www.funda.nl/detail/koop/amsterdam/appartement-brederodestraat-59-2/43953388/,48,450000,9375.0,Amsterdam,Netherlands,"Brederodestraat 59-2, Amsterdam, Netherlands",52.3614234,4.8652662,amsterdam-west,1 badkamer en 1 apart toilet,,"Ligbad, toilet, en wastafelmeubel",1 woonlaag,2e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1901,,7.0,,172.0,€ 450.000 kosten koper,€ 9.375,2 maanden,,In overleg,"€ 131,67 per maand",D,7.0,,172.0,2025-04-17,131.67,False,True,,,9999,2.0,,1,1,False
Cabotstraat,21-h,https://www.funda.nl/detail/koop/amsterdam/appartement-cabotstraat-21-h/43997987/,49,460000,9387.76,Amsterdam,Netherlands,"Cabotstraat 21-h, Amsterdam, Netherlands",52.3681298,4.8555993,baarsjes,1 badkamer,,Natuurlijke ventilatie,1 woonlaag,Begane grond,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,"€ 471,87 per jaar met optie tot afkopen",Benedenwoning (appartement),Bestaande bouw,1929,,,,300.0,€ 460.000 kosten koper,€ 9.388,7 weken,,In overleg,"€ 143,22 per maand",D,,,300.0,2025-04-29,143.22,False,False,471.87,,0,0.0,,1,1,False
Rombout Hogerbeetsstraat,18-h,https://www.funda.nl/detail/koop/amsterdam/appartement-rombout-hogerbeetsstraat-18-h/43948820/,49,460000,9387.76,Amsterdam,Netherlands,"Rombout Hogerbeetsstraat 18-h, Amsterdam, Netherlands",52.3779073,4.8736635,frederik hendrik buurt,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie en TV kabel,1 woonlaag,Begane grond,DWat betekent dit?,"HR-glas, muurisolatie en vloerisolatie",Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-07-2061),Afgekocht tot 01-07-2061,Benedenwoning (appartement),Bestaande bouw,1915,,,4.0,174.0,€ 460.000 kosten koper,€ 9.388,5 juni 2025,Beschikbaar,In overleg,"€ 151,00 per maand",D,,4.0,174.0,2025-06-05,151.0,True,False,0.0,2061.0,2061,0.0,,1,1,True
Marcantilaan,31,https://www.funda.nl/detail/koop/amsterdam/appartement-marcantilaan-31/43945848/,41,385000,9390.24,Amsterdam,Netherlands,"Marcantilaan 31, Amsterdam, Netherlands",52.3753685,4.8685526,staatsliedenbuurt,1 badkamer,,Glasvezelkabel en natuurlijke ventilatie,1 woonlaag,5e woonlaag,AWat betekent dit?,HR-glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 28-02-2035,Bovenwoning (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,6.0,4.0,137.0,€ 385.000 kosten koper,€ 9.390,2 weken,,In overleg,"€ 104,98 per maand",A,6.0,4.0,137.0,2025-06-03,104.98,True,True,0.0,2035.0,0,5.0,,1,1,False
Marcantilaan,288,https://www.funda.nl/detail/koop/amsterdam/appartement-marcantilaan-288/43944138/,41,385000,9390.24,Amsterdam,Netherlands,"Marcantilaan 288, Amsterdam, Netherlands",52.3742361,4.8682437,Unknown,1 kamer (1 slaapkamer),,Mechanische ventilatie en natuurlijke ventilatie,1 woonlaag,5e woonlaag,CWat betekent dit?,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,Erfpacht,Afgekocht tot 01-03-2036,Bovenwoning (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking en kunststof,4.0,,138.0,€ 385.000 kosten koper,€ 9.390,7 juni 2025,,In overleg,"€ 114,00 per maand",C,4.0,,138.0,2025-06-07,114.0,False,True,0.0,2036.0,0,5.0,1,0,1,False
Zaanstraat,159,https://www.funda.nl/detail/koop/amsterdam/appartement-zaanstraat-159/43987369/,42,395000,9404.76,Amsterdam,Netherlands,"Zaanstraat 159, Amsterdam, Netherlands",52.3890005,4.8761789,spaarndammerbuurt,1 badkamer,,TV kabel,1 woonlaag,,BWat betekent dit?,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,,Portiekflat (appartement),Bestaande bouw,1915,Plat dak bedekt met bitumineuze dakbedekking,6.0,5.0,132.0,€ 395.000 kosten koper,€ 9.405,8 weken,,In overleg,"€ 135,70 per maand",B,6.0,5.0,132.0,2025-04-22,135.7,True,True,,,0,,,1,1,False
Bentinckstraat,1/Mar,https://www.funda.nl/detail/koop/amsterdam/appartement-bentinckstraat-3-1/43965366/,42,395000,9404.76,Amsterdam,Netherlands,"Bentinckstraat 3-1, Amsterdam, Netherlands",52.3840791,4.8749581,staatsliedenbuurt,1 badkamer en 1 apart toilet,,TV kabel,1 woonlaag,2e woonlaag,AWat betekent dit?,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Tussenverdieping (appartement),Bestaande bouw,1898,Plat dak bedekt met bitumineuze dakbedekking,2.0,12.0,132.0,€ 395.000 kosten koper,€ 9.405,2 maanden,,In overleg,"€ 215,00 per maand",A,2.0,12.0,132.0,2025-04-17,215.0,True,True,0.0,2099.0,0,2.0,,1,1,False
Derde Hugo De Grootstraat,27-h,https://www.funda.nl/detail/koop/amsterdam/appartement-derde-hugo-de-grootstraat-27-h/43974616/,42,395000,9404.76,Amsterdam,Netherlands,"Derde Hugo De Grootstraat 27-h, Amsterdam, Netherlands",52.3738612,4.8710959,frederik hendrik buurt,1 apart toilet,,,1 woonlaag,Begane grond,BWat betekent dit?,Grotendeels dubbelglas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-12-2045,Benedenwoning (appartement),Bestaande bouw,1894,,,7.0,166.0,€ 395.000 kosten koper,€ 9.405,2 maanden,,Per direct beschikbaar,"€ 162,26 per maand",B,,7.0,166.0,2025-04-17,162.26,True,False,0.0,2045.0,0,0.0,,0,1,False
Kanaalstraat,170-1,https://www.funda.nl/detail/koop/amsterdam/appartement-kanaalstraat-170-1/43948133/,53,500000,9433.96,Amsterdam,Netherlands,"Kanaalstraat 170-1, Amsterdam, Netherlands",52.3612527,4.8591463,amsterdam-west,1 badkamer en 1 apart toilet,,"Glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,1e woonlaag,CWat betekent dit?,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,3.0,,169.0,€ 500.000 kosten koper,€ 9.434,4 juni 2025,Beschikbaar,In overleg,"€ 55,00 per maand",C,3.0,,169.0,2025-06-04,55.0,False,True,,,9999,1.0,,1,1,True
Lanseloetstraat,41-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lanseloetstraat-41-1/43919857/,53,500000,9433.96,Amsterdam,Netherlands,"Lanseloetstraat 41-1, Amsterdam, Netherlands",52.3775035,4.8493775,bos en lommer,1 badkamer,,TV kabel,1 woonlaag,1e woonlaag,DWat betekent dit?,HR-glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,"€ 591,00 per jaar",Portiekflat (appartement),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,3.0,7.0,180.0,€ 500.000 kosten koper,€ 9.434,4 weken,,In overleg,"€ 250,00 per maand",D,3.0,7.0,180.0,2025-05-20,250.0,True,True,591.0,,0,1.0,,1,1,False
Van Oldenbarneveldtstraat,89-5,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-89-5/43053313/,45,425000,9444.44,Amsterdam,Netherlands,"Van Oldenbarneveldtstraat 89-5, Amsterdam, Netherlands",52.3740534,4.873944,frederik hendrik buurt,1 badkamer,,Natuurlijke ventilatie en TV kabel,1 woonlaag,5e woonlaag,DWat betekent dit?,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1903,Plat dak bedekt met bitumineuze dakbedekking,9.0,,132.0,€ 425.000 kosten koper,€ 9.444,14 juni 2025,Beschikbaar,In overleg,"€ 100,00 per maand",D,9.0,,132.0,2025-06-14,100.0,False,True,,,9999,5.0,,1,1,True
Lange Leidsedwarsstraat,62-b,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-62-b/43969483/,45,425000,9444.44,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 62-b, Amsterdam, Netherlands",52.3648804,4.8831225,Unknown,1 badkamer,,Lift,1 woonlaag,3e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Elektrische boiler,Volle eigendom,,Bovenwoning,Bestaande bouw,1978,Plat dak,,3.0,138.0,€ 425.000 kosten koper,€ 9.444,2 maanden,Beschikbaar,In overleg,"€ 269,00 per maand",C,,3.0,138.0,2025-04-17,269.0,True,False,,,9999,3.0,,1,1,True
Palmgracht,23-2,https://www.funda.nl/detail/koop/amsterdam/appartement-palmgracht-23-2/43943968/,45,425000,9444.44,Amsterdam,Netherlands,"Palmgracht 23-2, Amsterdam, Netherlands",52.381997,4.8841177,jordaan,1 badkamer,,TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Vloerisolatie,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1938,Samengesteld dak bedekt met bitumineuze dakbedekking,,,151.0,€ 425.000 kosten koper,€ 9.444,7 juni 2025,Beschikbaar,In overleg,"€ 66,00 per maand",E,,,151.0,2025-06-07,66.0,False,False,,,9999,3.0,,1,1,True
Nassaukade,302-1,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-302-1/43949452/,45,425000,9444.44,Amsterdam,Netherlands,"Nassaukade 302-1, Amsterdam, Netherlands",52.369662,4.8747869,amsterdam-west,1 badkamer,,Natuurlijke ventilatie,1 woonlaag,2e woonlaag,BWat betekent dit?,HR-glas,Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1891,Plat dak,,,151.0,€ 425.000 kosten koper,€ 9.444,6 juni 2025,Beschikbaar,In overleg,"€ 125,00 per maand",B,,,151.0,2025-06-06,125.0,False,False,,,9999,2.0,,1,1,True
Borgerstraat,203-1,https://www.funda.nl/detail/koop/amsterdam/appartement-borgerstraat-203-1/43942064/,45,425000,9444.44,Amsterdam,Netherlands,"Borgerstraat 203-1, Amsterdam, Netherlands",52.3639809,4.8622704,amsterdam-west,1 badkamer,,Frans balkon en TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1911,Samengesteld dak bedekt met overig,3.0,,142.0,€ 425.000 kosten koper,€ 9.444,6 juni 2025,Beschikbaar,In overleg,,C,3.0,,142.0,2025-06-06,,False,True,,,9999,1.0,,1,1,True
Lijnbaansgracht,130-b,https://www.funda.nl/detail/koop/amsterdam/appartement-lijnbaansgracht-130-b/43958159/,45,425000,9444.44,Amsterdam,Netherlands,"Lijnbaansgracht 130-b, Amsterdam, Netherlands",52.3718087,4.8765535,jordaan,1 badkamer,,"Inloopdouche, toilet, en wastafelmeubel",1 woonlaag,2e woonlaag,DWat betekent dit?,,,,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1886,,,,190.0,€ 425.000 kosten koper,€ 9.444,2 maanden,,Per direct beschikbaar,"€ 148,00 per maand",D,,,190.0,2025-04-17,148.0,False,False,,,9999,2.0,,1,1,False
Van Bossestraat,26-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-bossestraat-26-3/43934214/,45,425000,9444.44,Amsterdam,Netherlands,"Van Bossestraat 26-3, Amsterdam, Netherlands",52.3814621,4.8684374,staatsliedenbuurt,2 kamers (1 slaapkamer),,,1 woonlaag,3e woonlaag,FWat betekent dit?,,Elektrische verwarming,Elektrische boiler,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking,3.0,,148.0,€ 425.000 kosten koper,€ 9.444,2 weken,Beschikbaar,Per direct beschikbaar,"€ 150,00 per maand",F,3.0,,148.0,2025-06-03,150.0,False,True,,,9999,3.0,2,0,1,True
Egelantiersgracht,31-2,https://www.funda.nl/detail/koop/amsterdam/appartement-egelantiersgracht-31-2/43904816/,37,350000,9459.46,Amsterdam,Netherlands,"Egelantiersgracht 31-2, Amsterdam, Netherlands",52.3761775,4.8830678,jordaan,1 badkamer,,TV kabel,1 woonlaag,2e woonlaag,DWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1940,,2.0,,129.0,€ 350.000 kosten koper,€ 9.459,5 weken,,In overleg,"€ 150,00 per maand",D,2.0,,129.0,2025-05-13,150.0,False,True,,,9999,2.0,,1,1,False
Eerste Constantijn Huygensstraat,90-4,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-constantijn-huygensstraat-90-4/43917663/,49,465000,9489.8,Amsterdam,Netherlands,"Eerste Constantijn Huygensstraat 90-4, Amsterdam, Netherlands",52.3630465,4.8747736,amsterdam-west,2 kamers (1 slaapkamer),,,1 woonlaag,4e woonlaag,AWat betekent dit?,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,,,23.0,,160.0,€ 465.000 kosten koper,€ 9.490,5 weken,,In overleg,"€ 93,92 per maand",A,23.0,,160.0,2025-05-13,93.92,False,True,,,9999,4.0,2,0,1,False
Bilderdijkstraat,196-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bilderdijkstraat-196-1/43831600/,50,475000,9500.0,Amsterdam,Netherlands,"Bilderdijkstraat 196-1, Amsterdam, Netherlands",52.3664281,4.87242,amsterdam-west,1 badkamer,,TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping,Bestaande bouw,1889,,11.0,,126.0,€ 475.000 kosten koper,€ 9.500,3 maanden,,In overleg,"€ 100,00 per maand",C,11.0,,126.0,2025-03-17,100.0,False,True,,,9999,1.0,,1,1,False
Fannius Scholtenstraat,46-1,https://www.funda.nl/detail/koop/amsterdam/appartement-fannius-scholtenstraat-46-1/43979388/,40,380000,9500.0,Amsterdam,Netherlands,"Fannius Scholtenstraat 46-1, Amsterdam, Netherlands",52.3838119,4.873463,staatsliedenbuurt,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,2e woonlaag,CWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-08-2060,Bovenwoning (appartement),Bestaande bouw,1905,,2.0,7.0,126.0,€ 380.000 kosten koper,€ 9.500,2 maanden,Beschikbaar,Per direct beschikbaar,"€ 178,38 per maand",C,2.0,7.0,126.0,2025-04-17,178.38,True,True,0.0,2060.0,0,2.0,,1,1,True
Spuistraat,214-2,https://www.funda.nl/detail/koop/amsterdam/appartement-spuistraat-214-2/43934541/,50,475000,9500.0,Amsterdam,Netherlands,"Spuistraat 214-2, Amsterdam, Netherlands",52.3705648,4.889145,centrum,1 badkamer,,Mechanische ventilatie,1 woonlaag,2e woonlaag,AWat betekent dit?,"Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1718,Mansarde dak,7.0,,158.0,€ 475.000 kosten koper,€ 9.500,2 weken,,In overleg,"€ 100,00 per maand",A,7.0,,158.0,2025-06-03,100.0,False,True,,,9999,2.0,,1,1,False
Gravenstraat,3-m,https://www.funda.nl/detail/koop/amsterdam/appartement-gravenstraat-3-m/43055242/,50,475000,9500.0,Amsterdam,Netherlands,"Gravenstraat 3-m, Amsterdam, Netherlands",52.3742405,4.8927969,centrum,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,1 woonlaag,1e woonlaag,BWat betekent dit?,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1798,Samengesteld dak,,5.0,183.0,€ 475.000 kosten koper,€ 9.500,11 juni 2025,Beschikbaar,In overleg,"€ 136,50 per maand",B,,5.0,183.0,2025-06-11,136.5,True,False,,,9999,1.0,,1,1,True
Zocherstraat,40-1,https://www.funda.nl/detail/koop/amsterdam/appartement-zocherstraat-40-1/43838985/,51,485000,9509.8,Amsterdam,Netherlands,"Zocherstraat 40-1, Amsterdam, Netherlands",52.3573312,4.8565066,Unknown,1 badkamer en 1 apart toilet,,Douche en wastafel,1 woonlaag,2e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1919,,7.0,,182.0,€ 485.000 kosten koper,€ 9.510,3 maanden,,In overleg,,D,7.0,,182.0,2025-03-17,,False,True,,,9999,2.0,,1,1,False
Karthuizersdwarsstraat,18-b,https://www.funda.nl/detail/koop/amsterdam/appartement-karthuizersdwarsstraat-18-b/43988273/,31,295000,9516.13,Amsterdam,Netherlands,"Karthuizersdwarsstraat 18-b, Amsterdam, Netherlands",52.3791443,4.88111,jordaan,1 badkamer,,Frans balkon en mechanische ventilatie,1 woonlaag,1e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1998,Plat dak,,3.0,95.0,€ 295.000 kosten koper,€ 9.516,8 weken,,In overleg,"€ 65,00 per maand",D,,3.0,95.0,2025-04-22,65.0,True,False,,,9999,1.0,,1,1,False
Brouwersgracht,30-2,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-30-2/43981162/,52,495000,9519.23,Amsterdam,Netherlands,"Brouwersgracht 30-2, Amsterdam, Netherlands",52.3792039,4.8930791,centrum,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie,1 woonlaag,2e woonlaag,Niet verplicht,Vloerisolatie,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1725,,3.0,12.0,172.0,€ 495.000 kosten koper,€ 9.519,7 weken,Beschikbaar,Per direct beschikbaar,"€ 100,00 per maand",Niet verplicht,3.0,12.0,172.0,2025-04-29,100.0,True,True,,,9999,2.0,,1,1,True
Fannius Scholtenstraat,62-2,https://www.funda.nl/detail/koop/amsterdam/appartement-fannius-scholtenstraat-62-2/43976590/,34,325000,9558.82,Amsterdam,Netherlands,"Fannius Scholtenstraat 62-2, Amsterdam, Netherlands",52.3833921,4.8740552,staatsliedenbuurt,2 kamers (1 slaapkamer),,TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,,Mansarde dak,,,113.0,€ 325.000 kosten koper,€ 9.559,2 maanden,,In overleg,"€ 141,31 per maand",E,,,113.0,2025-04-17,141.31,False,False,,,9999,3.0,2,0,1,False
Kinkerstraat,374-2,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-374-2/43053679/,47,450000,9574.47,Amsterdam,Netherlands,"Kinkerstraat 374-2, Amsterdam, Netherlands",52.3645512,4.861133,amsterdam-west,1 badkamer,,Mechanische ventilatie,1 woonlaag,2e woonlaag,CWat betekent dit?,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1902,Plat dak bedekt met bitumineuze dakbedekking,10.0,,154.0,€ 450.000 kosten koper,€ 9.574,13 juni 2025,Beschikbaar,In overleg,"€ 112,00 per maand",C,10.0,,154.0,2025-06-13,112.0,False,True,,,9999,2.0,,1,1,True
Dirk Hartoghstraat,18-b,https://www.funda.nl/detail/koop/amsterdam/appartement-dirk-hartoghstraat-18-b/43913701/,36,345000,9583.33,Amsterdam,Netherlands,"Dirk Hartoghstraat 18-b, Amsterdam, Netherlands",52.3895183,4.8868519,houthavens,1 badkamer en 1 apart toilet,,,4 woonlagen,2e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Bovenwoning (appartement),Bestaande bouw,1883,,,,113.0,€ 345.000 kosten koper,€ 9.583,4 weken,,In overleg,"€ 99,00 per maand",D,,,113.0,2025-05-20,99.0,False,False,0.0,2099.0,0,2.0,,1,,False
Palmgracht,1/Apr,https://www.funda.nl/detail/koop/amsterdam/appartement-palmgracht-4-1/43991066/,48,460000,9583.33,Amsterdam,Netherlands,"Palmgracht 4-1, Amsterdam, Netherlands",52.3823671,4.8844367,jordaan,1 badkamer,,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",2 woonlagen,1e woonlaag,Niet beschikbaar,,Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1934,,,1.0,167.0,€ 460.000 kosten koper,€ 9.583,6 weken,,In overleg,"€ 119,00 per maand",Niet beschikbaar,,1.0,167.0,2025-05-06,119.0,True,False,,,9999,1.0,,1,,False
Derde Egelantiersdwarsstraat,3/Jul,https://www.funda.nl/detail/koop/amsterdam/appartement-derde-egelantiersdwarsstraat-7-3/43059591/,39,375000,9615.38,Amsterdam,Netherlands,"Derde Egelantiersdwarsstraat 7-3, Amsterdam, Netherlands",52.3761934,4.8804098,jordaan,1 badkamer,,Mechanische ventilatie en TV kabel,1 woonlaag,4e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1935,Zadeldak bedekt met pannen,,4.0,136.0,€ 375.000 kosten koper,€ 9.615,12 juni 2025,Beschikbaar,In overleg,"€ 123,12 per maand",C,,4.0,136.0,2025-06-12,123.12,True,False,,,9999,4.0,,1,1,True
Orteliusstraat,292-2,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-292-2/43916190/,52,500000,9615.38,Amsterdam,Netherlands,"Orteliusstraat 292-2, Amsterdam, Netherlands",52.3728951,4.8479211,erasmusbuurt,1 badkamer en 1 apart toilet,,Natuurlijke ventilatie,1 woonlaag,3e woonlaag,AWat betekent dit?,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel en gehele vloerverwarming,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1932,Samengesteld dak,5.0,,179.0,€ 500.000 kosten koper,€ 9.615,5 weken,,In overleg,,A,5.0,,179.0,2025-05-13,,False,True,,,9999,3.0,,1,1,False
Van Hogendorpstraat,114-1,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hogendorpstraat-114-1/43955710/,39,375000,9615.38,Amsterdam,Netherlands,"Van Hogendorpstraat 114-1, Amsterdam, Netherlands",52.3831106,4.873383,staatsliedenbuurt,1 apart toilet,,Mechanische ventilatie en natuurlijke ventilatie,1 woonlaag,1e woonlaag,DWat betekent dit?,"Dakisolatie, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel en gehele vloerverwarming,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 30-09-2057,Bovenwoning (appartement),Bestaande bouw,1900,Zadeldak bedekt met pannen,2.0,7.0,150.0,€ 375.000 kosten koper,€ 9.615,2 maanden,,In overleg,"€ 189,96 per maand",D,2.0,7.0,150.0,2025-04-17,189.96,True,True,0.0,2057.0,0,1.0,,0,1,False
Bentinckstraat,93-2,https://www.funda.nl/detail/koop/amsterdam/appartement-bentinckstraat-93-2/43906638/,39,375000,9615.38,Amsterdam,Netherlands,"Bentinckstraat 93-2, Amsterdam, Netherlands",52.383102,4.8714149,staatsliedenbuurt,1 badkamer,,Douche en toilet,1 woonlaag,2e woonlaag,CWat betekent dit?,,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning,Bestaande bouw,1911,,6.0,,129.0,€ 375.000 kosten koper,€ 9.615,6 weken,,In overleg,,C,6.0,,129.0,2025-05-06,,False,True,,,9999,2.0,,1,1,False
Geuzenkade,20-1,https://www.funda.nl/detail/koop/amsterdam/appartement-geuzenkade-20-1/43056525/,52,500000,9615.38,Amsterdam,Netherlands,"Geuzenkade 20-1, Amsterdam, Netherlands",52.371843,4.8658484,erasmusbuurt,1 badkamer en 1 apart toilet,,Mechanische ventilatie,1 woonlaag,,CWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 31-08-2054,Bovenwoning (appartement),Bestaande bouw,1934,Plat dak,19.0,7.0,179.0,€ 500.000 kosten koper,€ 9.615,10 juni 2025,Beschikbaar,In overleg,"€ 160,00 per maand",C,19.0,7.0,179.0,2025-06-10,160.0,True,True,0.0,2054.0,0,,,1,1,True
Rozengracht,70-b,https://www.funda.nl/detail/koop/amsterdam/appartement-rozengracht-70-b/43913438/,40,385000,9625.0,Amsterdam,Netherlands,"Rozengracht 70-b, Amsterdam, Netherlands",52.373506,4.8803961,jordaan,2 kamers (1 slaapkamer),,,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas en voorzetramen,Blokverwarming,,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1976,,12.0,,176.0,€ 385.000 kosten koper,€ 9.625,4 weken,,In overleg,"€ 164,00 per maand",C,12.0,,176.0,2025-05-20,164.0,False,True,,,9999,2.0,2,0,1,False
