full_address_processed,latitude,longitude
Vinkenstraat 20 Amsterdam,52.3815922,4.8882202
Nederhoven 34 Amsterdam,52.3235948,4.8841046
Van Oldenbarneveldtstraat 89 Amsterdam,52.3740534,4.8739432
Van Spilbergenstraat 69 Amsterdam,52.366405,4.8516702
Egelantiersstraat 143 Amsterdam,52.3759686,4.8793719
Borgerstraat 203 Amsterdam,52.3639805,4.8622703
Soendastraat 8 Amsterdam,52.3653641,4.9385707
Blasiusstraat 51 Amsterdam,52.356748,4.9094468
Rozengracht 236 Amsterdam,52.3721525,4.8749047
Rengerskerkestraat 10 Amsterdam,52.3549103,4.7933881
Willem Frederik Hermansstraat 45 Amsterdam,52.3760249,4.9077004
Griseldestraat 16 Amsterdam,52.3765775,4.849257
Rijnstraat 51 Amsterdam,52.3115173,5.0398002
Amstelveenseweg 162 Amsterdam,52.3533641,4.8557172
Havikshorst 24 Amsterdam,52.3326647,4.884398
Albert Cuypstraat 186 Amsterdam,52.3558634,4.8954527
Sint Willibrordusstraat 74 Amsterdam,52.3539407,4.8999067
Bonairestraat 15 Amsterdam,52.3603095,4.8552084
Reitzstraat 113 1091ZB Amsterdam,52.3540312,4.9178572
Tweede Egelantiersdwarsstraat 13-2 1015SB Amsterdam,52.3765878,4.8822702
Van Spilbergenstraat 121-3 1057RC Amsterdam,52.3679564,4.8509173
Elizabeth Anscombestraat 267 1062LE Amsterdam,52.3553719,4.8392741
Nieuwezijds Voorburgwal 344-3 1012RX Amsterdam,52.3691145,4.8891073
Leusdenhof 220 1108DJ Amsterdam,52.3070345,4.9785
Leusdenhof 14 1108CP Amsterdam,52.3086688,4.9780599
Albert Cuypstraat 33-2 1072CL Amsterdam,52.3547266,4.8878764
Burgemeester Cramergracht 49 1064AE Amsterdam,52.3729317,4.8323538
Lindengracht 158-3 1015KK Amsterdam,52.3803182,4.88431
Tweede van der Helststraat 9-2 1073AE Amsterdam,52.3523566,4.8950073
Rustenburgerstraat 254-2 1073GK Amsterdam,52.352329,4.8969888
Kanaaldijk 296C 4 Alkmaar,52.6499002,4.7458231
Waterschaplaan 1 Zwaanshoek,52.3133724,4.6147168
Ursulinenlaan 24 Bergen (nh),52.6633891,4.7047056
Spierdijkerweg 111A Spierdijk,52.6484008,4.9412511
van Heemskerckstraat 60 Wormerveer,52.4970161,4.7901542
Willemijn Posthumustuin 8 Heerhugowaard,52.6441631,4.8213219
Louis Couperusstraat 143 Alkmaar,52.6530067,4.7695817
Bloemveldlaan 44 Haarlem,52.3836405,4.6022246
Christine Koetsstraat 3 Haarlem,52.3557952,4.65403
Vincent van Goghstraat 198 Amsterdam 1072DA,52.3488793,4.8909806
Haparandadam 2F3 Amsterdam 1013AK,52.3960175,4.8797512
De Gortpeller 96 Zaandam 1502BV,52.4486212,4.8220227
Madurastraat 35-1 Amsterdam 1094GE,52.3643367,4.9331199
Godfried Bomanslaan 4 Amstelveen 1187VM,52.2762264,4.8233323
De Egmondenstraat 213 Amsterdam,52.3950593,4.9481288
Osdorper Ban 655 Amsterdam,52.3605613,4.7947506
Maria Austriastraat 650 Amsterdam,52.3545318,4.9989793
Kostverlorenhof 202 Amstelveen,52.3124867,4.8770858
Celebesstraat 42D Amsterdam,52.36319,4.9317516
Bundlaan 220 Amsterdam,52.3876512,4.9024457
Linnaeusparkweg 135-1 Amsterdam,52.3519242,4.9376942
Makassarstraat 46H Amsterdam,52.3644091,4.9403273
Benkoelenstraat 1 Amsterdam,52.3636018,4.9383687
Hofgeest 73 Amsterdam,52.3119039,4.9576175
