street,lat,lon,neighborhood,district,city,postcode,display_name
George Gershwinlaan,52.3357223,4.8775107,Zuidas,Zuid,Amsterdam,1082 MT,"1, George Gershwinlaan, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1082 MT, Netherlands"
Haarlemmermeerstraat,52.3526019,4.8501343,Hoofddorperpleinbuurt,Zuid,Amsterdam,1058 KJ,"142-1, Haarlemmermeerstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1058 KJ, Netherlands"
Heathrowstraat,52.3859123,4.8330381,Nieuw-West,Amsterdam,North Holland,1043 CE,"Heathrowstraat, Teleport, Nieuw-West, Amsterdam, North Holland, Netherlands, 1043 CE, Netherlands"
Hudsonstraat,52.3644744,4.8540427,Hoofdweg,West,Amsterdam,1057 RW,"1, Hudsonstraat, Hoofdweg, West, Amsterdam, North Holland, Netherlands, 1057 RW, Netherlands"
Jan van Schaffelaarplantsoen,52.3784143,4.8421848,Kolenkitbuurt,West,Amsterdam,1061 DK,"1, Jan van Schaffelaarplantsoen, Kolenkitbuurt, West, Amsterdam, North Holland, Netherlands, 1061 DK, Netherlands"
Kinderdijkstraat,52.3423944,4.9028216,Rijnbuurt,Zuid,Amsterdam,1079 GL,"58-1, Kinderdijkstraat, Rijnbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1079 GL, Netherlands"
Koningin Wilhelminaplein,52.3556968,4.8409959,Westlandgracht,Nieuw-West,Amsterdam,1062 HG,"1, Koningin Wilhelminaplein, Westlandgracht, Nieuw-West, Amsterdam, North Holland, Netherlands, 1062 HG, Netherlands"
Molenwerf + PPL,,,,,,,
Olga De Haasstraat,52.3755926,4.9574043,Oost,Schellingwoude,Amsterdam,1095 PN,"Olga de Haasstraat, Zeeburgereiland, Oost, Schellingwoude, Amsterdam, North Holland, Netherlands, 1095 PN, Netherlands"
Pantograafstraat,52.3696123,4.9548073,Eastern Docklands,Oost,Amsterdam,1019 XX,"1, Pantograafstraat, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 XX, Netherlands"
Plantage Middenlaan,52.3649255,4.9153193,Plantage,Centrum,Amsterdam,1018 DH,"54E-1, Plantage Middenlaan, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 DH, Netherlands"
Plantage Muidergracht,52.3663531,4.9088147,Plantage,Centrum,Amsterdam,1018 TK,"1, Plantage Muidergracht, Plantage, Centrum, Amsterdam, North Holland, Netherlands, 1018 TK, Netherlands"
Staalmeesterslaan,52.364798,4.844158,Overtoomse Veld,Nieuw-West,Amsterdam,1057 NG,"1, Staalmeesterslaan, Overtoomse Veld, Nieuw-West, Amsterdam, North Holland, Netherlands, 1057 NG, Netherlands"
Stadionweg,52.3489131,4.8840525,Zuid,Amsterdam,North Holland,1077 RV,"1, Stadionweg, Zuid, Amsterdam, North Holland, Netherlands, 1077 RV, Netherlands"
Trompenburgstraat,52.3436729,4.9055665,Scheldebuurt,Zuid,Amsterdam,1079 TW,"137-1, Trompenburgstraat, Scheldebuurt, Zuid, Amsterdam, North Holland, Netherlands, 1079 TW, Netherlands"
Vechtstraat,52.3480437,4.9061719,35-1,Vechtstraat,IJselbuurt,1078 RH,"André Broos, certified massage practitioner and Reiki master, 35-1, Vechtstraat, IJselbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1078 RH, Netherlands"
Vrouwengelukhof,52.3786037,4.8431239,Kolenkitbuurt,West,Amsterdam,1061 BS,"1, Vrouwengelukhof, Kolenkitbuurt, West, Amsterdam, North Holland, Netherlands, 1061 BS, Netherlands"
Wichersstraat,52.378065,4.871044,Staatsliedenbuurt,West,Amsterdam,1051 ML,"1, Wichersstraat, Staatsliedenbuurt, West, Amsterdam, North Holland, Netherlands, 1051 ML, Netherlands"
Wim Van Estlaan,52.3749022,4.8371857,Kolenkitbuurt,West,Amsterdam,1061 MK,"1, Wim van Estlaan, Kolenkitbuurt, West, Amsterdam, North Holland, Netherlands, 1061 MK, Netherlands"
Zandstrooierstraat,52.3699256,4.9547322,Eastern Docklands,Oost,Amsterdam,1019 XZ,"1, Zandstrooierstraat, Eastern Docklands, Oost, Amsterdam, North Holland, Netherlands, 1019 XZ, Netherlands"
Distelvlinderweg,,,,,,,
Klipperweg,,,,,,,
