python_file,url,full_adres,city,price,area,num_rooms,available
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-keizersgracht-129a/,Keizersgracht 129A,1015 CJ AMSTERDAM,3375000.0,368.0,4.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-frans-van-mierisstraat-121d/,Frans van Mierisstraat 121D,1071 RR AMSTERDAM,2850000.0,180.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-leonard-bernsteinstraat-70a/,Leonard Bernsteinstraat 70A,1082 MR AMSTERDAM,795000.0,85.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-gustav-mahlerlaan-537c/,Gustav Mahlerlaan 537C,1082 MK AMSTERDAM,895000.0,99.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-lorriestraat-79/,Lorriestraat 79,1019 XP AMSTERDAM,425000.0,48.0,1.0,Verkocht
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-sprinklerstraat-3/,Sprinklerstraat 3,1019 VR AMSTERDAM,450000.0,57.0,1.0,Onder bod
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-dijkmeerlaan-317/,Dijkmeerlaan 317,1096 DE AMSTERDAM,925000.0,93.0,3.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-gustav-mahlerlaan-533e/,Gustav Mahlerlaan 533E,1082 MK AMSTERDAM,525000.0,58.0,,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-argonautenstraat-49-2/,Argonautenstraat 49-2,1076 KL AMSTERDAM,1165000.0,132.0,4.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-westerdok-518/,Westerdok 518,1013 BH AMSTERDAM,1395000.0,143.0,2.0,Verkocht
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-herengracht-47-1/,Herengracht 47-1,1015 BB AMSTERDAM,1095000.0,110.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-eliza-van-calcarstraat-13/,Eliza van Calcarstraat 13,1068 RR AMSTERDAM,925000.0,167.0,5.0,Verkocht
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-ms-van-riemsdijkweg-284/,ms. van Riemsdijkweg 284,1033 RD AMSTERDAM,1150000.0,120.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-keizersgracht-131d/,Keizersgracht 131D,1015 CJ AMSTERDAM,1975000.0,210.0,3.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-polanenstraat-1g/,Polanenstraat 1G,1013 VP AMSTERDAM,275000.0,24.0,1.0,Onder bod
