python_file,url,full_adres,city,price,area,num_rooms,available,street,number_extension,full_address_processed,full_address_streets,latitude,longitude
amstel_properties.py,https://amstel-property.com/woningen/stolwijkstraat-3-hs-amsterdam-90743817099ab85b664341a4672101bd2d5eb7/,Stolwijkstraat 3 HS in Amsterdam,Amsterdam,,57.0,2.0,Verkocht,Stolwijkstraat,3 HS,Stolwijkstraat 3 HS Amsterdam,Stolwijkstraat Amsterdam,52.3505384,4.8484998
amstel_properties.py,https://amstel-property.com/woningen/spuistraat-3-f3-amsterdam-907438e0086d132b2c4b75aca6b3a2c04cc0d9/,Spuistraat 3 F3 in Amsterdam,Amsterdam,,54.0,2.0,Verkocht,Spuistraat,3 F3,Spuistraat 3 F3 Amsterdam,Spuistraat Amsterdam,52.377079,4.8944135
amstel_properties.py,https://amstel-property.com/woningen/wittgensteinlaan-232-pp-amsterdam-907438377d95242eb146a49e95857ca249e161/,Wittgensteinlaan 232 PP in Amsterdam,Amsterdam,,92.0,3.0,Verkocht,Wittgensteinlaan,232 PP,Wittgensteinlaan 232 PP Amsterdam,Wittgensteinlaan Amsterdam,,
amstel_properties.py,https://amstel-property.com/woningen/nienke-van-hichtumstraat-31-amsterdam-9074384977a06b7bab4390974dbb1f5ad2ad0c/,Nienke van Hichtumstraat 31 in Amsterdam,Amsterdam,,93.0,4.0,Verkocht,Nienke van Hichtumstraat,31,Nienke van Hichtumstraat 31 Amsterdam,Nienke van Hichtumstraat Amsterdam,52.3797012,4.8102839
amstel_properties.py,https://amstel-property.com/woningen/entrepotdok-63-b-amsterdam-907438ee376cef7aad45f1bbcc861b9cb03eb8/,Entrepotdok 63 B in Amsterdam,Amsterdam,,88.0,3.0,Verkocht,Entrepotdok,63 B,Entrepotdok 63 B Amsterdam,Entrepotdok Amsterdam,52.3681268,4.9163133
amstel_properties.py,https://amstel-property.com/woningen/brenner-39-amsterdam-9074389c78b195a2a14525a8ed711e0050afce/,Brenner 39 in Amsterdam,Amsterdam,,127.0,5.0,Verkocht,Brenner,39,Brenner 39 Amsterdam,Brenner Amsterdam,52.3512472,4.7747674
amstel_properties.py,https://amstel-property.com/woningen/eerste-looiersdwarsstraat-10-b-amsterdam-907438d163bfa983d840d0af82b08dd01376d3/,Eerste Looiersdwarsstraat 10 B in Amsterdam,Amsterdam,,59.0,4.0,Verkocht,Eerste Looiersdwarsstraat,10 B,Eerste Looiersdwarsstraat 10 B Amsterdam,Eerste Looiersdwarsstraat Amsterdam,52.3689609,4.8809765
amstel_properties.py,https://amstel-property.com/woningen/tweede-oosterparkstraat-209-c-amsterdam-9074384a359fd004404628b03dec22eb4e66fb/,Tweede Oosterparkstraat 209 C in Amsterdam,Amsterdam,,103.0,3.0,Verkocht,Tweede Oosterparkstraat,209 C,Tweede Oosterparkstraat 209 C Amsterdam,Tweede Oosterparkstraat Amsterdam,52.3585116,4.9216768
amstel_properties.py,https://amstel-property.com/woningen/pieter-van-der-werfstraat-211-amsterdam-907438dd1319dcab154dc4a6116b456f5d89b7/,Pieter van der Werfstraat 211 in Amsterdam,Amsterdam,,140.0,5.0,Verkocht,Pieter van der Werfstraat,211,Pieter van der Werfstraat 211 Amsterdam,Pieter van der Werfstraat Amsterdam,52.3821546,4.8029095
amstel_properties.py,https://amstel-property.com/woningen/wittgensteinlaan-253-amsterdam-907438cc7543a96c764c25aaf7d33c57dfd398/,Wittgensteinlaan 253 in Amsterdam,Amsterdam,,87.0,3.0,Verkocht,Wittgensteinlaan,253,Wittgensteinlaan 253 Amsterdam,Wittgensteinlaan Amsterdam,52.3544168,4.8363146
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/radarweg-324/,Radarweg 324 in Amsterdam,Amsterdam,1650000.0,216.0,6.0,Beschikbaar,Radarweg,324,Radarweg 324 Amsterdam,Radarweg Amsterdam,52.3867761,4.8350527
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/nieuwezijds-voorburgwal-45/,Nieuwezijds Voorburgwal 45 in Amsterdam,Amsterdam,1300000.0,170.0,5.0,Beschikbaar,Nieuwezijds Voorburgwal,45,Nieuwezijds Voorburgwal 45 Amsterdam,Nieuwezijds Voorburgwal Amsterdam,52.3760428,4.8937163
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/tweede-van-der-helststraat-22-1/,Tweede Van der Helststraat 22 1 in Amsterdam,Amsterdam,1100000.0,114.0,3.0,Beschikbaar,Tweede Van der Helststraat,22 1,Tweede Van der Helststraat 22 1 Amsterdam,Tweede Van der Helststraat Amsterdam,52.3522744,4.8946998
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/utrechtsedwarsstraat-160/,Utrechtsedwarsstraat 160 in Amsterdam,Amsterdam,1100000.0,105.0,3.0,Beschikbaar,Utrechtsedwarsstraat,160,Utrechtsedwarsstraat 160 Amsterdam,Utrechtsedwarsstraat Amsterdam,52.3619572,4.9019621
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/groenmarktkade-1-1/,Groenmarktkade 1 1 in Amsterdam,Amsterdam,725000.0,73.0,2.0,Beschikbaar,Groenmarktkade,1 1,Groenmarktkade 1 1 Amsterdam,Groenmarktkade Amsterdam,52.3717033,4.8750276
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/tweede-oosterparkstraat-39-c/,Tweede Oosterparkstraat 39 C in Amsterdam,Amsterdam,600000.0,60.0,3.0,Beschikbaar,Tweede Oosterparkstraat,39 C,Tweede Oosterparkstraat 39 C Amsterdam,Tweede Oosterparkstraat Amsterdam,52.3562573,4.9134397
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/albert-cuypstraat-163-3/,Albert Cuypstraat 163 3 in Amsterdam,Amsterdam,600000.0,65.0,3.0,Beschikbaar,Albert Cuypstraat,163 3,Albert Cuypstraat 163 3 Amsterdam,Albert Cuypstraat Amsterdam,52.3557495,4.8938538
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/windroosplein-134/,Windroosplein 134 in Amsterdam,Amsterdam,525000.0,77.0,3.0,Beschikbaar,Windroosplein,134,Windroosplein 134 Amsterdam,Windroosplein Amsterdam,52.3733006,4.9252152
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/erich-salomonstraat-154/,Erich Salomonstraat 154 in Amsterdam,Amsterdam,525000.0,84.0,3.0,Beschikbaar,Erich Salomonstraat,154,Erich Salomonstraat 154 Amsterdam,Erich Salomonstraat Amsterdam,52.356906,4.9967127
amstredam_at_home.py,https://www.makelaaramsterdam.nl/objecten/olympiaweg-107-1/,Olympiaweg 107 1 in Amsterdam,Amsterdam,495000.0,47.0,3.0,Beschikbaar,Olympiaweg,107 1,Olympiaweg 107 1 Amsterdam,Olympiaweg Amsterdam,52.3463565,4.8603802
apollo.py,https://www.apollomakelaardij.nl/property/van-boshuizenstraat-405-amsterdam/,"Van Boshuizenstraat 405, 1082 AP Amsterdam, Nederland",Nederland,475000.0,73.0,2.0,Beschikbaar,Van Boshuizenstraat,"405, 1082 AP","Van Boshuizenstraat 405, 1082 AP Nederland",Van Boshuizenstraat Nederland,52.3246844,4.8804833
apollo.py,https://www.apollomakelaardij.nl/property/johan-van-der-keukenstraat-79k-amsterdan/,"Johan van der Keukenstraat 79K, 1087 BC Amsterdam, Nederland",Nederland,330000.0,46.0,2.0,Beschikbaar,Johan van der Keukenstraat,"79K, 1087 BC","Johan van der Keukenstraat 79K, 1087 BC Nederland",Johan van der Keukenstraat Nederland,52.359722,4.9890203
apollo.py,https://www.apollomakelaardij.nl/property/spyridon-louisweg-103-amsterdam/,"Spyridon Louisweg 103, 1034 WR Amsterdam, Nederland",Nederland,1150000.0,197.0,6.0,Beschikbaar,Spyridon Louisweg,"103, 1034 WR","Spyridon Louisweg 103, 1034 WR Nederland",Spyridon Louisweg Nederland,52.4017898,4.9196438
apollo.py,https://www.apollomakelaardij.nl/property/insulindeweg-7a-amsterdam/,"Insulindeweg 7III, 1094 LE Amsterdam, Nederland",Nederland,695000.0,97.0,,Beschikbaar,Insulindeweg,"7III, 1094 LE","Insulindeweg 7III, 1094 LE Nederland",Insulindeweg Nederland,52.3612553,4.9324988
apollo.py,https://www.apollomakelaardij.nl/property/elckerlijcstraat-167-amsterdam/,"Elckerlijcstraat 167, 1055 AK Amsterdam, Nederland",Nederland,635000.0,93.0,4.0,Beschikbaar,Elckerlijcstraat,"167, 1055 AK","Elckerlijcstraat 167, 1055 AK Nederland",Elckerlijcstraat Nederland,52.3775301,4.8473211
apollo.py,https://www.apollomakelaardij.nl/property/eerste-atjehstraat-156-4-amsterdam/,"Eerste Atjehstraat 156, 4, 1094 KW Amsterdam, Nederland",Nederland,445000.0,47.0,2.0,Beschikbaar,Eerste Atjehstraat,"156, 4, 1094 KW","Eerste Atjehstraat 156, 4, 1094 KW Nederland",Eerste Atjehstraat Nederland,,
apollo.py,https://www.apollomakelaardij.nl/property/oudezijds-voorburgwal-160c-amsterdam/,"Oudezijds Voorburgwal 160-C, 1012 GH Amsterdam, Nederland",Nederland,635000.0,77.0,2.0,Beschikbaar,Oudezijds Voorburgwal,"160-C, 1012 GH","Oudezijds Voorburgwal 160-C, 1012 GH Nederland",Oudezijds Voorburgwal Nederland,52.3731169,4.8968473
apollo.py,https://www.apollomakelaardij.nl/property/haarlemmermeerstraat-130-3-amsterdam/,"Haarlemmermeerstraat 130, 3, 1058 Amsterdam, Nederland",Nederland,1095000.0,122.0,4.0,Beschikbaar,Haarlemmermeerstraat,"130, 3, 1058","Haarlemmermeerstraat 130, 3, 1058 Nederland",Haarlemmermeerstraat Nederland,,
apollo.py,https://www.apollomakelaardij.nl/property/courbetstraat-7-1-amsterdam/,"Courbetstraat 7, 1, 1077 ZP Amsterdam, Nederland",Nederland,815000.0,113.0,5.0,Beschikbaar,Courbetstraat,"7, 1, 1077 ZP","Courbetstraat 7, 1, 1077 ZP Nederland",Courbetstraat Nederland,,
apollo.py,https://www.apollomakelaardij.nl/property/van-hallstraat-43h-amsterdam/,"Van Hallstraat 43II, 1051 GX Amsterdam, Nederland",Nederland,415000.0,43.0,2.0,Beschikbaar,Van Hallstraat,"43II, 1051 GX","Van Hallstraat 43II, 1051 GX Nederland",Van Hallstraat Nederland,52.3834588,4.8703584
apollo.py,https://www.apollomakelaardij.nl/property/diamantstraat-26-2-amsterdam/,"Diamantstraat 26, 2, 1074 GD Amsterdam, Nederland",Nederland,665000.0,80.0,3.0,Beschikbaar,Diamantstraat,"26, 2, 1074 GD","Diamantstraat 26, 2, 1074 GD Nederland",Diamantstraat Nederland,,
apollo.py,https://www.apollomakelaardij.nl/property/pieter-jacobszstraat-22-amsterdam/,"Pieter Jacobszstraat 22, 1012 HL Amsterdam, Nederland",Nederland,1225000.0,131.0,5.0,Beschikbaar,Pieter Jacobszstraat,"22, 1012 HL","Pieter Jacobszstraat 22, 1012 HL Nederland",Pieter Jacobszstraat Nederland,52.371705,4.8944841
apollo.py,https://www.apollomakelaardij.nl/property/insulindeweg-7b-amsterdam/,"Insulindeweg 7III, 1094 NW Amsterdam, Nederland",Nederland,645000.0,84.0,2.0,Beschikbaar,Insulindeweg,"7III, 1094 NW","Insulindeweg 7III, 1094 NW Nederland",Insulindeweg Nederland,52.3611625,4.9324973
apollo.py,https://www.apollomakelaardij.nl/property/zeeburgerkade-130-amsterdam/,"Zeeburgerkade 130, 1019 HH Amsterdam, Nederland",Nederland,785000.0,102.0,4.0,Beschikbaar,Zeeburgerkade,"130, 1019 HH","Zeeburgerkade 130, 1019 HH Nederland",Zeeburgerkade Nederland,52.369182,4.9405581
apollo.py,https://www.apollomakelaardij.nl/property/johan-hofmanstraat-334-amsterdam/,"Johan Hofmanstraat 334, 1069 KD Amsterdam, Nederland",Nederland,485000.0,101.0,4.0,Beschikbaar,Johan Hofmanstraat,"334, 1069 KD","Johan Hofmanstraat 334, 1069 KD Nederland",Johan Hofmanstraat Nederland,52.3519841,4.7941905
apollo.py,https://www.apollomakelaardij.nl/property/vier-heemskinderenstraat-41h-amsterdam/,"Vier Heemskinderenstraat 41HS, 1055 LL Amsterdam, Nederland",Nederland,485000.0,56.0,2.0,Beschikbaar,Vier Heemskinderenstraat,"41HS, 1055 LL","Vier Heemskinderenstraat 41HS, 1055 LL Nederland",Vier Heemskinderenstraat Nederland,52.3792331,4.8555125
b2makelaars.py,https://www.b2makelaars.nl/woningaanbod/koop/amsterdam/johan-van-der-keukenstraat/75-h?localityid=1290&locationofinterest=Amsterdam&moveunavailablelistingstothebottom=true&orderby=10&orderdescending=true&take=10,Johan van der Keukenstraat 75H 1087BC Amsterdam,Amsterdam,400000.0,48.0,2.0,Beschikbaar,Johan van der Keukenstraat,75H 1087BC,Johan van der Keukenstraat 75H 1087BC Amsterdam,Johan van der Keukenstraat Amsterdam,52.3597464,4.9890729
