street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon
Bos En Lommerweg,323-4,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-323-4/43050330/,43,339000.0,7883.72,Amsterdam,Netherlands,"Bos En Lommerweg 323-4, Amsterdam, Netherlands",52.3782005,4.848546
Lange Leidsedwarsstraat,136-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-136-1/43050020/,61,475000.0,7786.89,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 136-1, Amsterdam, Netherlands",52.3634423,4.8852238
Brouwersgracht,182-k,https://www.funda.nl/detail/koop/amsterdam/appartement-brouwersgracht-182-k/43050725/,72,500000.0,6944.44,Amsterdam,Netherlands,"Brouwersgracht 182-k, Amsterdam, Netherlands",52.3812402,4.8876821
Burgemeester Fockstraat,188-2,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-fockstraat-188-2/43058265/,57,325000.0,5701.75,Amsterdam,Netherlands,"Burgemeester Fockstraat 188-2, Amsterdam, Netherlands",52.3838866,4.8342154
Sanderijnstraat,3-1,https://www.funda.nl/detail/koop/amsterdam/appartement-sanderijnstraat-3-1/43058050/,57,400000.0,7017.54,Amsterdam,Netherlands,"Sanderijnstraat 3-1, Amsterdam, Netherlands",52.3765576,4.8508869
Tweede Tuindwarsstraat,10-c,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-tuindwarsstraat-10-c/43058704/,40,400000.0,10000.0,Amsterdam,Netherlands,"Tweede Tuindwarsstraat 10-c, Amsterdam, Netherlands",52.3771425,4.8816763
Beulingstraat,4-t,https://www.funda.nl/detail/koop/amsterdam/appartement-beulingstraat-4-t/43056366/,50,485000.0,9700.0,Amsterdam,Netherlands,"Beulingstraat 4-t, Amsterdam, Netherlands",52.3680539,4.8875502
Eerste Rozendwarsstraat,13-h,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-rozendwarsstraat-13-h/43056213/,51,495000.0,9705.88,Amsterdam,Netherlands,"Eerste Rozendwarsstraat 13-h, Amsterdam, Netherlands",52.3728418,4.880595
Willem De Zwijgerlaan,66-3,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-66-3/43056289/,48,425000.0,8854.17,Amsterdam,Netherlands,"Willem De Zwijgerlaan 66-3, Amsterdam, Netherlands",52.3722119,4.8639208
Eerste Kostverlorenkade,14-1,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-kostverlorenkade-14-1/43056935/,49,425000.0,8673.47,Amsterdam,Netherlands,"Eerste Kostverlorenkade 14-1, Amsterdam, Netherlands",52.37876,4.8732572
Marnixkade,27-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixkade-27-2/43056984/,59,500000.0,8474.58,Amsterdam,Netherlands,"Marnixkade 27-2, Amsterdam, Netherlands",52.3823797,4.8810584
Van Bossestraat,10-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-bossestraat-10-2/43056739/,41,375000.0,9146.34,Amsterdam,Netherlands,"Van Bossestraat 10-2, Amsterdam, Netherlands",52.3817942,4.8683162
Herengracht,285-3,https://www.funda.nl/detail/koop/amsterdam/appartement-herengracht-285-3/43944496/,39,450000.0,11538.46,Amsterdam,Netherlands,"Herengracht 285-3, Amsterdam, Netherlands",52.3709649,4.8873261
Burgemeester Hogguerstraat,315,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-315/43943314/,90,425000.0,4722.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 315, Amsterdam, Netherlands",52.3718878,4.8305029
Kinkerstraat,83-3,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-83-3/43942215/,46,350000.0,7608.7,Amsterdam,Netherlands,"Kinkerstraat 83-3, Amsterdam, Netherlands",52.3668787,4.8713982
Spuistraat,3-f7,https://www.funda.nl/detail/koop/amsterdam/appartement-spuistraat-3-f7/43941351/,61,500000.0,8196.72,Amsterdam,Netherlands,"Spuistraat 3-f7, Amsterdam, Netherlands",52.3771015,4.8943686
Goudsbloemstraat,203-d,https://www.funda.nl/detail/koop/amsterdam/appartement-goudsbloemstraat-203-d/43940004/,47,495000.0,10531.91,Amsterdam,Netherlands,"Goudsbloemstraat 203-d, Amsterdam, Netherlands",52.3802024,4.8812824
